Dist,Name of school,Q.1,Q.2,Q.3,Q.4,Q.5.A,Q.6,Q.7,Q.8,Q.9,Q.10,Q.11,PT TOTAL CRITERION,% CRITERION,Total Population  ('000) as per 2011 census,Adolescent popn (10-19 yrs),Youth popn (10-19 yrs), SC Proportion to total pon- RURAL, SC Proportion to total pon- URBAN, SC Proportion to total pon- TOTAL, ST Proportion to total pon- RURAL, ST Proportion to total pon- URBAN, ST Proportion to total pon- TOTAL,GDDP at current prices (13-14),NDDP at current prices (13-14),GDDP at constant prices (13-14),NDDP at constant prices (13-14),Per captia Net District Domestic product  at current prices in Rs.,Average ( MPCE) (Rs at current Prices)- Total- Rural,Share of food in total expenditure (%)- Rural,Average ( MPCE) (Rs at current Prices)- Total- Urban,Share of food in total expenditure (%)- Urban,Ration - Yellow- BPL,Ration - Yellow- AAY,Ration - Saffron- APL,Annapurna,White,Total Ration Cards,Average per capita consumption per month (Rs. at current prices) Rural - 2005-05,Incidence of Poverty (%)- Rural - 2004-05,Lorenz Ratio (%) Rural - 2004-05,Average per capita consumption per month (Rs. at current prices) Urban - 2005-05,Incidence of Poverty (%)- Urban - 2004-05,Lorenz Ratio (%) Urban - 2004-05,Total  Road length (km)- 2013-14,Adolescent popn (10-19 yrs)- proportion  to workers as main workers ,Adolescent popn (10-19 yrs)- proportion  to workers as marginal workers ,Youth popn (10-19 yrs)- proportion  to workers as main workers ,Youth popn (10-19 yrs)- proportion  to workers as marginal workers ,HDI of Dist- 2001,HDI of Dist- 2011,HDI of Dist- relative status in 2001,HDI of Dist- relative status in 2011,IMR - 2010,Per Capita Health Expenditure- Rural - 2006-07- MHDR ,Per Capita Health Expenditure- Urban - 2006-07- MHDR ,Popn per sub centre in 2010-11,Popn per PHC  in 2010-11,Popn per RH in 2010-11,Popn per Govt Bed- 2009-10,Sex ratio of the district or block if data available ,Place of ANC- Govt Health Facility - 07-08,Place of ANC- Pvt Health Facility - 07-08,Place of ANC- Community Based Services - 07-08,Any ANC,Full Antenatal Care,Percentage of women who had institutional deliveries,Home Deliveries,Home deliveries assisted by skilled persons,% of safe deliveries,Child sex ratio (0-6 yrs),Avg HH size for NH ,Avg HH size for HH ,Literacy Rate - M,Literacy Rate - F,Literacy Rate - T,Literacy rate in SC,Literacy rate in ST,Adolescent popn (10-19 yrs)- Literate,Youth popn (10-19 yrs)- Literate,Schools havin sectionsy arupper prim,Schools having secondary sections ,ratio of schools with upper primary sections to secondary sections,Number of schools ( All)- 2009- MPSP,Number of Government secondary schools- 2009- MPSP,Number of Private aided schools- 2009-MPSP,Number of Private nuaided schools- 2009-MPSP,% of HH having Tap water as a source of drinking water- 2011,% of HH having Laterines within their premises- 2011,Unemployment rates in district OR Total unemployed in the age group 15-59 yrs,The pass % for  District in SSC-for the exam conducted in March 15,English medicum - if 1 - which standards,"Infrastructure of School- Pucca , katchha or semi pucca building",Infrastructure of School- 2 of classrooms,"Computer




1 __1

2  ____2","Internet Connectivity



1 __1

2  ____2","E- Learning Facility



1 __1

2  ____2","Toilets




1 __1

2  ____2","Toilets for females-



1 __1

2  ____2",Playground (available and dimensions),"Performace of school in sports -

Level (cluster,Block, District, State)

and



June 14 to May 15","Performace in extra-curricular




Level (Cluster,Block, District, State)




June 14- May 15","Local Trust or Board for Each School (school management committe;

Active:  4 and more than 4 meeting  in a 1r

Passive: less than 4 meeting in a 1r



June 14 to May 15","Passively following rules(incl COTPA) or is proactive-  ON THE BASIS OF TWO PARAMETERS WHICH SCHOOL CAN FOLLOW


Passive: not following  COTPA  with enthusiam etc



Proactive: Following COTPA with ensthusiam, taking initative


June 14 to May 15",Remark for active and passive,"Gender  of Principal


Male_____1
Feamle_____2


June 14- May 15","Age of Principal


June 14- May 15","Marital status of Principal

Single___1

Widowed__2

Married___3

Divorced___4



June 14-May 15","2 of children- to principal



June 14-May 15","Principal's spouse's EDucation


June 14-May 15","Principal's spouse is working

1___1

2___2

June 14-May 15","Describe the occupation of Principal's spouse


June 14-May 15","Can you tell us your monthly household income?

May not be possible __1

In Rs__________



June 14-May 15",Principal's highest level of qualification,"Principal sucessfully implemented any scheme in this school  ?


1___1

2___2",If sucessfully implemented scheme then please name the schemes,Principal's Number of  of schooling /education?,"Principal sucessfully implemented any scheme in  other  school  ?


1___1

2___2", If sucessfully implemented other scheme then please name the schemes,2 of  working as a principal  in this school ?,2 of 1 woking a a pincipal  in othe chool ?,"Principal internet savy

Very Good__1

Good______2

not at all good__3


June 14-May 15","Principal  use smat Phone


1____1

2_____2

June 14-May 15","Principal has ever used tobacco


1____1


2_____2

June 14-May 15","Principal and current Tobacco Use -



Principal Using Tobacco

1____1


2_____2

June 14-May 15","Principal - current user- daily quantiity

June 14-May 15","Any award to school from Govt in past 5 yrs
at level


 1. CRC- Cluster

2. Block

3. District


State


National",How Many Guest Lectures in School in Past 1r-June 14 to May 15,"Tobacco use is a problem among school adolescents and youth in this town

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","A tobacco free environment has a positive impact on school students

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school staff have
 not made any demand for a tobacco free enviornment in the school


Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school staff should not be forced to stop using tobacco

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school trustees play an active role in decisions around school programmes (Check wether schools of smf have trustees)

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Block level staff from the education department communicate with our school on a regular (atleast oince in 3 months)  basis about school curriculum related issues

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Block level staff from  the education or health department prepared our school staff in implementing the tobacco free programme

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Our staff received training in tobacco free schools

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The school is a leader in terms of taking up extra-curricular programmes for its students

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","It is difficult to bring about any change in my school

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","The resistance to change in my school can be easily tackled

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of our teachers (more than 50%)  discuss any challenges related to school or students with me

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","I can easily discuss any ideas, schemes for change with my school teachers


Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50% ) are disintrested in the work of teaching

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) conduct private tuitions or coaching classes after school hrs.

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) take ownership to ensure that the school does well in academics

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) take ownership to ensure that the school does well in extra-curricular programmes

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) willingly participate in workshops or events for self- development

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of my school teachers (more than 50%) willingly participate in extra curricular activities organized for the welfare of the students

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","I have to issue memos or give verbal warnings every time to teachers to get any scheme or activities implemented in the school

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Most of our parents ( More than 50%) participate in school activities or events

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Parents of my school find tobacco use the biggest threat for  their children

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","Majoirt (More than 50%)  of parents have requested me to implement tobacco free rules in the school

Agree__1

Somewhat agree__2

Somewhat Disagree_3

Disagree__4","2 of Workshops
2. of Trainings

attended by teacher
June14 May 15","Awards to teachers from Govt in past 3 yrs


1____1


2_____2

","Is there a PTA
parent teachers association

1____1


2_____2

","Parental education- record for maximum parents

Codes - only one code  is possible  - Primary or Secondary or higher seconday, illiterate, literate without formal education, ",The pass % for  District in HSC-for the exam conducted in March 15,Performance of  district in education,Male Enrollment,Male Enrollment_2,Male Enrollment_3,Female Enrollment,Female  Enrollment,Female  Enrollment_4,Total  Enrollment,Total Enrolment,Total Enrolment_5,Percent of tribal or caste related students in the school,"Male -no of Teachers




June 14 to May 15","Female -no of teachers




June 14 to May 15",Teacher student ratio,Male to female teacher ratio,no of blank columns
Sangali,Z.P.School wajarawad ,1,1,1,1,1,1,1,1,1,1,1,11,100,2822,18.3,18.2,12,14,12.5,0.6,0.8,0.6,34117,31070,20042,18153,103588,583.9,55.7,685.9,53,69604,35605,486125,1007,73360,665701,583.9,12.1,33.9,685.9,61.7,34.1,10245,3.6,1.2,11.4,2.4,0.7,0.7,Very High,Very High,20,131,355,6963,37767,148549,2176.3,966,47.8,55,1.4,97.3,49.7,76.1,24.3,2.8,78.9,867,4.7,3.6,88.2,74.6,81.5,78,76.2,96.1,95.1,1157,602,1.9,615,2,528,85,67.3,,706036,94.4,Marathi,Pucca,7,1,2,2,1,1,1,Block Level,none,active,proactive,active,1,38,3,2,DED,2,House Wife,1,BA,2,,2,2,,7,4,3,2,2,2,,3,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,4,1,1,2,1,4,3,1,2,8,1,1,secondary,94.43,,,,,,,,,,,,,,,,16
Sangali,Kamrak Hihg School,1,1,1,1,1,1,1,1,1,1,1,11,100,2822,18.3,18.2,12,14,12.5,0.6,0.8,0.6,34117,31070,20042,18153,103588,583.9,55.7,685.9,53,69604,35605,486125,1007,73360,665701,583.9,12.1,33.9,685.9,61.7,34.1,10245,3.6,1.2,11.4,2.4,0.7,0.7,Very High,Very High,20,131,355,6963,37767,148549,2176.3,966,47.8,55,1.4,97.3,49.7,76.1,24.3,2.8,78.9,867,4.7,3.6,88.2,74.6,81.5,78,76.2,96.1,95.1,1157,602,1.9,615,2,528,85,67.3,,706036,94.4,Marathi,Pucca,4,1,1,2,1,1,1,District Level,Cluster Level ,active,proactive,active,1,57,3,1,BED,2,House Wife,1,BA,2,,2,2,,13,2,3,2,2,2,,1,3,1,2,1,1,1,4,4,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,10,1,1,secondary,94.43,,,,,,,,,,,,,,,,16
Kolhapur,Janta Z.P School Redal,1,1,1,1,1,1,1,1,1,1,1,11,100,3876,17.9,18.4,13.4,12.1,13,0.8,0.6,0.8,54630,49525,33079,29789,119783,626.7,54,873.2,47.2,148371,56286,641442,181,93708,939988,626.7,10.6,36.5,873.2,40.1,38.1,7758,2.9,1.1,10.7,2.5,0.7,0.8,Very High,Very High,22,153,201,6722,38560,138814,1865.5,957,39,64.4,0.8,97.4,37.4,89,10.1,3.6,92.6,863,4.6,3.4,88.6,74.2,81.5,77.8,80,96.1,95.5,1675,867,1.9,847,11,690,146,85.4,,990339,95.6,Marathi,Pucca,10,2,2,2,1,1,1,State Level,Block Level,active,proactive,active,1,40,3,2,BED,2,House Wife,40000,HSC,1,Tobacco Free School,12,2,,15,2,3,2,2,2,,,3,1,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,4,1,1,4,4,1,4,2,1,secondary,95.56,,,,,,,,,,,,,,,,16
Jalgaon,Z.P.P.School Ganeshpur,1,1,1,1,1,1,1,1,1,1,1,11,100,4230,19.7,19.1,9.3,9.1,9.2,18.6,5,14.3,38802,35239,22552,20369,81741,507.9,55.4,857.2,45.6,215734,136937,501934,2002,71344,927951,507.9,24.9,26.1,857.2,54.8,37.8,11263,5.4,1.5,14.4,2.8,0.6,0.7,Medium,High,28,144,80,6765,38834,149513,2174.8,925,32,44.7,1.7,80.3,29.3,53.1,46.7,12.1,65.2,842,4.7,4.2,85.4,70.6,78.2,73.7,58.9,92,89.6,1438,751,1.9,716,64,614,38,88.7,,941569,91.8,Marathi,Pucca,5,1,2,2,1,1,1,District Level,Block Level,active,proactive,active,1,54,3,2,BED,2,House Wife,1,BA,2,,4,2,,7,1,3,2,2,2,,,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,2,4,3,5,2,1,secondary,91.76,,,,,,,,,,,,,,,,16
Washim,Z. P. Khadki.,1,1,1,1,1,1,1,1,1,1,1,11,100,1197,21.1,19.5,20.3,13.8,19.2,7.9,1.5,6.7,10338,9522,5103,4643,81568,516.5,55.5,653.7,49.4,151572,40624,79166,1925,12915,286202,516.5,23.2,32.6,653.7,60.3,41.8,3020,5.7,1.3,14.9,2.8,0.6,0.6,Low,Low,38,145,40,6715,41098,146779,2953.6,930,23.7,54.5,2.1,95.8,23,65.2,34.7,6.8,72,863,4.6,4.1,90.5,75.5,83.2,80.5,74.7,97.1,95.6,634,285,2.2,278,13,219,46,41.1,,224736,89,Marathi,Pucca,4,2,2,2,1,1,2,,none,active,proactive,active,1,35,3,2,BED,2,Teacher,33000,HSC,1,Tobacco Free School,22,2,,2,9,1,1,2,2,,,0,1,1,1,3,2,3,1,1,1,4,1,1,1,4,4,1,2,2,1,1,2,4,4,1,2,1,secondary,89.04,,,,,,,,,,,,,,,,16
Dhule,Karm S.C.Bedse Vidhyala Dhadne,1,1,1,1,1,1,1,1,1,1,1,11,100,2051,20.2,18.7,5.6,7.9,6.2,41.1,6.9,31.6,18867,17049,10770,9693,85706,489.7,56.6,753.6,47.8,143874,75482,202729,1718,101112,433915,489.7,27.1,31.9,753.6,48.9,43,6181,6.6,1.9,15,2.9,0.6,0.7,Low,Low,31,181,385,6397,36200,185523,1482.5,946,43.2,43.7,4,76.2,25.7,50.5,48,8.9,59.4,898,4.9,4.6,79.5,65.8,72.8,75.4,50.9,88.4,84.6,620,446,1.4,450,17,403,30,83.9,,407702,91.4,Marathi,Pucca,14,1,2,2,1,1,1,Block Level,none,active,proactive,active,1,58,3,3,HSC,2,House Wife,1,BA,1,Cleanliness,30,2,,6,8,3,2,2,2,,,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,1,2,1,secondary,,,,,,,,,,,,,,,,,18
Nandurbar,National High School Taloda ,1,1,1,1,1,1,1,1,1,1,1,11,100,1648,23,19.9,2.2,6.3,2.9,79.7,17.3,69.3,9235,8448,5081,4601,56521,470.9,57.2,793.9,45.2,104352,105924,107079,1251,8272,326878,470.9,44,34.8,793.9,58.3,36.1,5794,8,3.1,16.3,4.6,0.5,0.6,Low,Low,30,257,76,4874,24369,88336,1513,978,40.9,22.1,4.3,60.6,24.3,25.4,73,8.6,34,944,4.9,4.4,72.2,56.5,64.4,76.9,55,84.9,77.3,599,387,1.5,374,62,216,96,56.8,,266790,91.5,Urdu,Pucca,8,1,1,2,1,1,1,Block Level,none,active,proactive,active,1,47,3,2,MA,1,Teacher,1,MA,1,Cleanliness,23,2,,15,0,2,1,2,2,,1,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,6,1,1,secondary,,,,,,,,,,,,,,,,,17
Nanded,Z.P.P.School Anamal Ta Mahoor ,1,1,1,1,1,1,1,1,1,1,1,11,100,3361,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551,22565,13140,11988,67654,502.1,53.3,571.6,50.2,142490,78173,400265,2025,9002,631955,502.1,35.2,31.5,571.6,75.4,36,10574,6.8,1.7,16.9,3,0.6,0.7,Low,Low,31,174,335,6956,40975,163898,1585.9,943,35,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910,5,4,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798,634,2.8,664,85,467,112,47,,681889,81.1,Marathi,Pucca,9,1,2,2,1,1,1,Cluster Level,Cluster Level ,active,proactive,active,1,57,3,2,Primary,2,House Wife,50000,BA,1,Tobacco Free School,32,2,,9,7,3,1,2,2,,,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,6,2,1,primary,,,,,,,,,,,,,,,,,17
Nanded,Z.P.P.School Barsgaon Ta. Ardhapur,1,1,1,1,1,1,1,1,1,1,1,11,100,3361,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551,22565,13140,11988,67654,502.1,53.3,571.6,50.2,142490,78173,400265,2025,9002,631955,502.1,35.2,31.5,571.6,75.4,36,10574,6.8,1.7,16.9,3,0.6,0.7,Low,Low,31,174,335,6956,40975,163898,1585.9,943,35,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910,5,4,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798,634,2.8,664,85,467,112,47,,681889,81.1,Marathi,Pucca,9,1,2,2,1,1,1,Block Level,none,active,proactive,active,1,52,3,3,Primary,2,House Wife,1,BA,1,Science Exhibition,33,2,,4,0,3,1,2,2,,,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,6,2,1,primary,,,,,,,,,,,,,,,,,17
Nanded,Z.P.P.School Kalka Ta. Khandhar ,1,1,1,1,1,1,1,1,1,1,1,11,100,3361,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551,22565,13140,11988,67654,502.1,53.3,571.6,50.2,142490,78173,400265,2025,9002,631955,502.1,35.2,31.5,571.6,75.4,36,10574,6.8,1.7,16.9,3,0.6,0.7,Low,Low,31,174,335,6956,40975,163898,1585.9,943,35,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910,5,4,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798,634,2.8,664,85,467,112,47,,681889,81.1,Marathi,Pucca,9,1,2,2,1,1,1,Block Level,none,active,proactive,active,1,51,3,3,Primary,2,House Wife,45000,SSC DED,1,Tobacco Free School,31,2,,4,8,2,1,2,2,,,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,2,2,1,primary,,,,,,,,,,,,,,,,,17
Hingoli,Z.P.P.School Dha2ra Ta Sengaon,1,1,1,1,1,1,1,1,1,1,1,11,100,1177,21.4,19.4,16.2,11.6,15.5,10.7,2.9,9.5,6555,6051,3463,3173,53780,613.9,45.9,657.2,48.2,60350,27309,157750,984,2455,248848,613.9,24.8,37.3,657.2,59.2,36,3432,7.5,1.4,17.3,2.5,0.6,0.6,Low,Low,16,136,37,7463,41048,197030,2927,942,27.1,41.1,2.2,93.2,21.9,41.5,57.7,5.8,47.3,882,5.1,4.4,86.9,69,78.2,75.5,72.2,96,94.1,669,179,3.7,191,39,104,48,35.9,,193420,83.4,Marathi,Pucca,9,1,1,2,1,2,1,,none,active,proactive,active,1,37,3,3,HSC,2,House Wife,1,MA,1,Nirmal Gram Panchayat Yojana,14,1,Raju Meena Munch,1,0,2,1,1,2,,,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,2,2,1,secondary,,,,,,,,,,,,,,,,,17
Hingoli,Matoshri Shworg washi Laxmibai Yewle School sengaon ,1,1,1,1,1,1,1,1,1,1,1,11,100,1177,21.4,19.4,16.2,11.6,15.5,10.7,2.9,9.5,6555,6051,3463,3173,53780,613.9,45.9,657.2,48.2,60350,27309,157750,984,2455,248848,613.9,24.8,37.3,657.2,59.2,36,3432,7.5,1.4,17.3,2.5,0.6,0.6,Low,Low,16,136,37,7463,41048,197030,2927,942,27.1,41.1,2.2,93.2,21.9,41.5,57.7,5.8,47.3,882,5.1,4.4,86.9,69,78.2,75.5,72.2,96,94.1,669,179,3.7,191,39,104,48,35.9,,193420,83.4,Semi English,Pucca,15,1,1,2,1,1,1,Regional,State Level,active,proactive,active,1,23,1,0,none,2,House Wife,1,BA,1,"Save Girl Child, Writing-Reading Program, etc.",4,2,,4,0,1,1,2,2,,1,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,4,1,1,primary,,,,,,,,,,,,,,,,,17
Hingoli,Z.P.Kendriy Prathmik School Dholkyachi Wadi ,1,1,1,1,1,1,1,1,1,1,1,11,100,1177,21.4,19.4,16.2,11.6,15.5,10.7,2.9,9.5,6555,6051,3463,3173,53780,613.9,45.9,657.2,48.2,60350,27309,157750,984,2455,248848,613.9,24.8,37.3,657.2,59.2,36,3432,7.5,1.4,17.3,2.5,0.6,0.6,Low,Low,16,136,37,7463,41048,197030,2927,942,27.1,41.1,2.2,93.2,21.9,41.5,57.7,5.8,47.3,882,5.1,4.4,86.9,69,78.2,75.5,72.2,96,94.1,669,179,3.7,191,39,104,48,35.9,,193420,83.4,Marathi,Pucca,8,1,2,2,1,1,1,Block Level,Block Level,active,proactive,active,1,45,3,2,HSC,2,House Wife,1,MA,1,Cleanliness,16,2,,6,0,2,1,2,2,,,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,2,4,4,4,1,1,primary,,,,,,,,,,,,,,,,,17
Nagpur,"Z. P. Pri. School, Aalagondi.",1,1,1,1,1,1,1,1,1,1,1,11,100,4654,18,19.3,15.9,19.9,18.6,13.6,7.5,9.4,70183,63114,43170,38703,123610,507.7,52.1,1040.9,38.8,136894,100612,436116,6902,69339,749863,507.7,30.3,34.5,1040.9,36.8,39.5,8920,3.1,1.1,10.9,2.6,0.7,0.8,Very High,Very High,34,430,477,5325,34340,129434,1417.8,951,55.8,46.8,4,98.2,44.9,82.2,18.1,2.2,84.4,931,4.4,3.1,92.1,84.5,88.4,88.5,82.2,97.1,96.7,1733,919,1.9,877,68,645,164,76.4,,1378306,88.9,Marathi,Pucca,2,2,2,2,1,1,2,,Cluster Level ,active,proactive,active,2,37,3,2,SSC,1,Officer,70000,MA,1,Tobacco Free School,27,2,,2,0,3,1,2,2,,,0,1,1,1,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,4,1,2,4,3,2,1,secondary,,,,,,,,,,,,,,,,,17
Yavatmal,Z.P.P.School mhangaon.Block.Digrash .Dis.Yawatmal ,1,1,1,1,1,1,1,1,1,1,1,11,100,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,Marathi,Pucca,7,1,1,1,1,1,1,Block Level,District Level,active,proactive,active,2,36,3,2,BED,1,House Wife,1,MA,1,Cleanliness,15,2,,4,0,1,1,2,2,,,2,1,1,1,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,4,1,4,4,1,2,1,secondary,,,,,,,,,,,,,,,,,17
Yavatmal,Z.P.U.P.School  Dehani Block.Digrash.Dis.Yawatmal ,1,1,1,1,1,1,1,1,1,1,1,11,100,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,Marathi,Pucca,7,2,2,2,1,1,1,District Level,District Level,active,proactive,active,1,45,3,2,BED,2,House Wife,1,BA,1,Cleanliness,16,2,,1,0,3,2,1,2,,,0,1,1,4,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,4,1,1,4,5,2,1,secondary,,,,,,,,,,,,,,,,,17
Yavatmal,Z.P.U P.School Ga2ri Block.Bhabhulgoan Dis.Yawatmal,1,1,1,1,1,1,1,1,1,1,1,11,100,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,Marathi,Pucca,8,1,2,2,1,1,1,District Level,none,active,proactive,active,2,57,3,2,HSC,1,Service,45000,SSC DED,1,Cleanliness,31,2,,1,4,3,2,2,2,,,0,1,1,4,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,4,1,1,1,2,2,1,secondary,,,,,,,,,,,,,,,,,17
Yavatmal,Z.P.P.School  Umarkhed Varud bibi.Dis.Yawatmal Mangrul,1,1,1,1,1,1,1,1,1,1,1,11,100,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,Marathi,Pucca,6,2,2,2,1,1,1,District Level,Cluster Level ,active,proactive,active,1,45,3,2,BED,2,House Wife,1,BA,1,Cleanliness,24,2,,1,0,3,2,2,2,,,0,1,1,4,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,4,1,1,4,5,2,1,secondary,,,,,,,,,,,,,,,,,17
Yavatmal,Z.P.U.P School Baldhi Block Umarkhed. Dis.Yawatmal ,1,1,1,1,1,1,1,1,1,1,1,11,100,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,Marathi,Pucca,7,2,2,2,1,1,1,District Level,none,active,proactive,active,1,43,3,3,BED,2,House Wife,1,BA,1,Cleanliness,17,2,,2,6,1,1,1,2,,,3,1,1,4,4,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,4,4,4,2,2,1,secondary,,,,,,,,,,,,,,,,,17
Yavatmal,Z.P.U.P. Marthi School.Junana Block.Umrkhed.Dis.Yawatmal,1,1,1,1,1,1,1,1,1,1,1,11,100,2772,20.7,19.7,11.5,13.2,11.8,21.8,6.7,18.5,20481,18689,11559,10456,66287,485.9,49.4,764.6,40.4,133095,132834,286257,2642,11087,567915,485.9,33.4,30.9,764.6,59.4,40.9,8568,6,1.5,14.5,3,0.6,0.7,Medium,Medium,21,159,418,5351,36949,136927,1728.6,952,36.6,51,3.4,88,28.7,53.4,45.1,6,59.4,922,4.3,3.4,89.4,75.9,82.8,82.8,76.1,96.8,95.3,1452,615,2.4,630,76,471,83,43.9,,540673,84.9,Semi English,Pucca,7,1,1,1,1,1,1,Block Level,Cluster Level ,active,proactive,active,2,56,3,4,Primary,2,House Wife,1,BA,2,Tobacco Free School,32,2,,3,0,3,2,2,2,,1,4,1,1,1,3,1,1,1,1,1,3,1,1,1,4,4,1,1,1,1,1,1,4,4,5,2,1,secondary,,,,,,,,,,,,,,,,,17
